DIVA;MessageValue;MessageCode
60200862;OK;1
60200863;OK;1
60200865;OK;1
60200867;OK;1
60200868;OK;1
60200869;OK;1
60200870;OK;1
60200872;OK;1
60200873;OK;1
60200874;OK;1
60200875;Abfragelimit erreicht!;316
60200877;OK;1
60200878;OK;1
60200879;OK;1
60200880;OK;1
60200881;OK;1
60200883;OK;1
60200884;OK;1
60200885;OK;1
60200886;OK;1
60200887;OK;1
60200888;OK;1
60200889;OK;1
60200890;OK;1
60200891;OK;1
60200892;Haltepunkt existiert nicht!;312
60200893;OK;1
60200894;OK;1
60200895;OK;1
60200896;OK;1
60200897;OK;1
60200898;OK;1
60200899;OK;1
60200900;OK;1
60200901;Haltepunkt existiert nicht!;312
60200902;OK;1
60200903;OK;1
60200904;OK;1
60200905;OK;1
60200906;OK;1
60200907;OK;1
60200908;Abfragelimit erreicht!;316
60200909;OK;1
60200910;OK;1
60200911;OK;1
60200912;OK;1
60200913;OK;1
60200914;OK;1
60200916;OK;1
60200917;OK;1
60200918;OK;1
60200919;OK;1
60200920;OK;1
60200921;OK;1
60200922;OK;1
60200923;OK;1
60200924;OK;1
60200925;OK;1
60200927;OK;1
60200928;OK;1
60200929;OK;1
60200930;OK;1
60200931;OK;1
60200932;OK;1
60200933;OK;1
60200934;OK;1
60200935;OK;1
60200936;OK;1
60200937;OK;1
60200938;Abfragelimit erreicht!;316
60200939;OK;1
60200940;OK;1
60200941;Abfragelimit erreicht!;316
60200942;Abfragelimit erreicht!;316
60200943;OK;1
60200944;OK;1
60200945;Haltepunkt existiert nicht!;312
60200947;Abfragelimit erreicht!;316
60200948;OK;1
60200949;OK;1
60200950;Abfragelimit erreicht!;316
60200951;OK;1
60200952;OK;1
60200953;OK;1
60200954;Abfragelimit erreicht!;316
60200955;OK;1
60200956;OK;1
60200957;OK;1
60200958;OK;1
60200959;OK;1
60200960;OK;1
60200961;OK;1
60200962;OK;1
60200963;OK;1
60200964;OK;1
60200965;OK;1
60200966;OK;1
60200967;OK;1
60200968;OK;1
60200970;OK;1
60200971;OK;1
60200972;OK;1
60200973;OK;1
60200974;OK;1
60200975;OK;1
60200976;OK;1
60200977;Abfragelimit erreicht!;316
60200978;OK;1
60200979;OK;1
60200980;OK;1
60200981;OK;1
60200983;OK;1
60200984;Abfragelimit erreicht!;316
60200985;OK;1
60200986;Abfragelimit erreicht!;316
60200987;OK;1
60200988;Abfragelimit erreicht!;316
60200989;OK;1
60200990;OK;1
60200991;OK;1
60200992;OK;1
60200993;OK;1
60200994;OK;1
60200995;OK;1
60200996;OK;1
60200997;OK;1
60200998;OK;1
60200999;OK;1
60201000;OK;1
60201001;OK;1
60201002;OK;1
60201003;Haltepunkt existiert nicht!;312
60201004;OK;1
60201005;OK;1
60201007;OK;1
60201008;OK;1
60201009;OK;1
60201010;OK;1
60201011;Haltepunkt existiert nicht!;312
60201012;OK;1
60201013;Abfragelimit erreicht!;316
60201014;OK;1
60201015;Abfragelimit erreicht!;316
60201016;OK;1
60201017;Abfragelimit erreicht!;316
60201018;OK;1
60201019;OK;1
60201021;OK;1
60201022;OK;1
60201023;Abfragelimit erreicht!;316
60201024;OK;1
60201025;Abfragelimit erreicht!;316
60201026;OK;1
60201027;OK;1
60201028;OK;1
60201029;OK;1
60201030;OK;1
60201031;OK;1
60201032;Haltepunkt existiert nicht!;312
60201033;OK;1
60201034;OK;1
60201035;OK;1
60201037;OK;1
60201038;OK;1
60201039;OK;1
60201040;OK;1
60201041;OK;1
60201042;OK;1
60201043;OK;1
60201044;OK;1
60201045;Abfragelimit erreicht!;316
60201046;Abfragelimit erreicht!;316
60201047;Abfragelimit erreicht!;316
60201048;OK;1
60201049;OK;1
60201050;OK;1
60201052;OK;1
60201053;OK;1
60201054;OK;1
60201055;OK;1
60201056;OK;1
60201057;OK;1
60201058;OK;1
60201060;OK;1
60201061;Abfragelimit erreicht!;316
60201062;OK;1
60201063;OK;1
60201065;OK;1
60201066;OK;1
60201067;OK;1
60201068;OK;1
60201070;OK;1
60201071;OK;1
60201072;OK;1
60201073;OK;1
60201074;Abfragelimit erreicht!;316
60201075;Abfragelimit erreicht!;316
60201076;OK;1
60201077;OK;1
60201078;OK;1
60201079;Abfragelimit erreicht!;316
60201080;OK;1
60201081;OK;1
60201082;OK;1
60201083;Abfragelimit erreicht!;316
60201084;OK;1
60201085;OK;1
60201086;Abfragelimit erreicht!;316
60201087;OK;1
60201088;Abfragelimit erreicht!;316
60201090;Abfragelimit erreicht!;316
60201091;OK;1
60201093;OK;1
60201094;Abfragelimit erreicht!;316
60201095;Abfragelimit erreicht!;316
60201096;Abfragelimit erreicht!;316
60201098;OK;1
60201099;OK;1
60201100;OK;1
60201101;OK;1
60201102;OK;1
60201103;OK;1
60201104;OK;1
60201105;OK;1
60201106;Haltepunkt existiert nicht!;312
60201107;OK;1
60201108;OK;1
60201109;OK;1
60201110;Haltepunkt existiert nicht!;312
60201111;OK;1
60201112;OK;1
60201113;OK;1
60201114;OK;1
60201115;OK;1
60201116;OK;1
60201117;OK;1
60201118;OK;1
60201119;Abfragelimit erreicht!;316
60201120;OK;1
60201121;Abfragelimit erreicht!;316
60201122;OK;1
60201124;OK;1
60201125;Abfragelimit erreicht!;316
60201126;Abfragelimit erreicht!;316
60201127;Abfragelimit erreicht!;316
60201128;OK;1
60201129;OK;1
60201130;OK;1
60201131;Haltepunkt existiert nicht!;312
60201132;OK;1
60201133;Abfragelimit erreicht!;316
60201134;OK;1
60201135;OK;1
60201136;OK;1
60201137;OK;1
60201138;OK;1
60201139;OK;1
60201140;OK;1
60201141;OK;1
60201142;OK;1
60201143;OK;1
60201144;Abfragelimit erreicht!;316
60201145;OK;1
60201146;OK;1
60201147;OK;1
60201148;OK;1
60201149;OK;1
60201150;Abfragelimit erreicht!;316
60201151;OK;1
60201152;OK;1
60201153;OK;1
60201154;Abfragelimit erreicht!;316
60201155;OK;1
60201156;Abfragelimit erreicht!;316
60201158;Abfragelimit erreicht!;316
60201159;Haltepunkt existiert nicht!;312
60201160;OK;1
60201162;OK;1
60201163;Abfragelimit erreicht!;316
60201164;OK;1
60201165;OK;1
60201166;OK;1
60201168;OK;1
60201169;OK;1
60201170;Abfragelimit erreicht!;316
60201171;OK;1
60201173;OK;1
60201174;OK;1
60201175;Haltepunkt existiert nicht!;312
60201176;OK;1
60201177;OK;1
60201178;OK;1
60201179;OK;1
60201180;OK;1
60201181;Abfragelimit erreicht!;316
60201182;Abfragelimit erreicht!;316
60201183;Haltepunkt existiert nicht!;312
60201184;OK;1
60201185;OK;1
60201186;OK;1
60201187;Abfragelimit erreicht!;316
60201188;OK;1
60201189;OK;1
60201190;OK;1
60201191;OK;1
60201192;Abfragelimit erreicht!;316
60201193;OK;1
60201195;OK;1
60201196;OK;1
60201197;OK;1
60201198;OK;1
60201199;OK;1
60201200;OK;1
60201201;OK;1
60201202;OK;1
60201203;OK;1
60201204;OK;1
60201205;OK;1
60201206;OK;1
60201207;Abfragelimit erreicht!;316
60201208;OK;1
60201209;OK;1
60201210;OK;1
60201211;OK;1
60201212;OK;1
60201213;OK;1
60201214;OK;1
60201215;OK;1
60201216;OK;1
60201217;OK;1
60201218;OK;1
60201219;OK;1
60201220;OK;1
60201221;OK;1
60201223;OK;1
60201224;Haltepunkt existiert nicht!;312
60201226;OK;1
60201227;OK;1
60201228;OK;1
60201229;Abfragelimit erreicht!;316
60201230;OK;1
60201231;Abfragelimit erreicht!;316
60201232;OK;1
60201233;OK;1
60201234;OK;1
60201235;Abfragelimit erreicht!;316
60201236;OK;1
60201237;OK;1
60201239;OK;1
60201240;OK;1
60201241;OK;1
60201242;OK;1
60201243;OK;1
60201244;OK;1
60201245;OK;1
60201246;OK;1
60201247;OK;1
60201248;OK;1
60201249;OK;1
60201250;OK;1
60201251;Haltepunkt existiert nicht!;312
60201252;OK;1
60201253;OK;1
60201254;OK;1
60201255;Abfragelimit erreicht!;316
60201256;Haltepunkt existiert nicht!;312
60201257;OK;1
60201258;OK;1
60201259;OK;1
60201260;OK;1
60201261;OK;1
60201262;OK;1
60201263;OK;1
60201264;OK;1
60201265;Abfragelimit erreicht!;316
60201266;OK;1
60201267;Abfragelimit erreicht!;316
60201268;OK;1
60201269;OK;1
60201270;OK;1
60201271;Haltepunkt existiert nicht!;312
60201272;OK;1
60201274;Haltepunkt existiert nicht!;312
60201275;OK;1
60201276;Abfragelimit erreicht!;316
60201277;OK;1
60201278;OK;1
60201279;OK;1
60201280;OK;1
60201281;Haltepunkt existiert nicht!;312
60201282;OK;1
60201283;OK;1
60201284;OK;1
60201285;OK;1
60201286;OK;1
60201287;OK;1
60201288;OK;1
60201289;OK;1
60201290;OK;1
60201291;Abfragelimit erreicht!;316
60201292;OK;1
60201295;Haltepunkt existiert nicht!;312
60201296;OK;1
60201299;OK;1
60201300;OK;1
60201301;OK;1
60201302;OK;1
60201303;OK;1
60201304;OK;1
60201305;OK;1
60201306;OK;1
60201307;OK;1
60201308;OK;1
60201309;Haltepunkt existiert nicht!;312
60201310;Haltepunkt existiert nicht!;312
60201311;OK;1
60201312;OK;1
60201313;OK;1
60201314;OK;1
60201315;Abfragelimit erreicht!;316
60201316;Abfragelimit erreicht!;316
60201317;OK;1
60201318;OK;1
60201319;OK;1
60201320;OK;1
60201321;OK;1
60201322;OK;1
60201323;OK;1
60201324;OK;1
60201325;OK;1
60201326;OK;1
60201327;OK;1
60201328;OK;1
60201329;OK;1
60201330;OK;1
60201331;OK;1
60201332;Abfragelimit erreicht!;316
60201333;OK;1
60201335;OK;1
60201336;OK;1
60201337;OK;1
60201338;Abfragelimit erreicht!;316
60201339;OK;1
60201340;OK;1
60201341;OK;1
60201342;OK;1
60201343;OK;1
60201344;OK;1
60201345;OK;1
60201346;Abfragelimit erreicht!;316
60201349;OK;1
60201350;Haltepunkt existiert nicht!;312
60201351;OK;1
60201352;Abfragelimit erreicht!;316
60201353;OK;1
60201357;OK;1
60201358;OK;1
60201359;OK;1
60201360;Abfragelimit erreicht!;316
60201361;Abfragelimit erreicht!;316
60201362;OK;1
60201363;OK;1
60201364;OK;1
60201365;OK;1
60201366;OK;1
60201368;OK;1
60201369;OK;1
60201370;OK;1
60201371;OK;1
60201372;OK;1
60201373;OK;1
60201374;OK;1
60201375;OK;1
60201376;OK;1
60201377;OK;1
60201378;OK;1
60201380;OK;1
60201381;Haltepunkt existiert nicht!;312
60201382;OK;1
60201383;OK;1
60201384;OK;1
60201385;OK;1
60201386;OK;1
60201388;OK;1
60201389;OK;1
60201390;Haltepunkt existiert nicht!;312
60201392;Abfragelimit erreicht!;316
60201393;OK;1
60201394;Abfragelimit erreicht!;316
60201395;OK;1
60201396;Abfragelimit erreicht!;316
60201397;Abfragelimit erreicht!;316
60201398;OK;1
60201399;Abfragelimit erreicht!;316
60201400;Abfragelimit erreicht!;316
60201401;Abfragelimit erreicht!;316
60201402;OK;1
60201403;OK;1
60201404;OK;1
60201405;OK;1
60201406;OK;1
60201407;OK;1
60201408;OK;1
60201409;OK;1
60201410;OK;1
60201411;OK;1
60201412;Abfragelimit erreicht!;316
60201413;OK;1
60201414;OK;1
60201415;OK;1
60201416;OK;1
60201417;OK;1
60201418;OK;1
60201419;OK;1
60201420;OK;1
60201421;OK;1
60201422;OK;1
60201423;OK;1
60201424;OK;1
60201425;OK;1
60201426;OK;1
60201427;OK;1
60201428;Abfragelimit erreicht!;316
60201429;Abfragelimit erreicht!;316
60201430;OK;1
60201431;OK;1
60201432;Haltepunkt existiert nicht!;312
60201433;OK;1
60201435;OK;1
60201436;OK;1
60201437;OK;1
60201438;OK;1
60201439;OK;1
60201440;OK;1
60201441;OK;1
60201442;Haltepunkt existiert nicht!;312
60201443;OK;1
60201444;Abfragelimit erreicht!;316
60201445;OK;1
60201446;OK;1
60201447;OK;1
60201448;OK;1
60201449;OK;1
60201450;Abfragelimit erreicht!;316
60201451;OK;1
60201453;OK;1
60201455;OK;1
60201456;OK;1
60201457;OK;1
60201458;Haltepunkt existiert nicht!;312
60201459;OK;1
60201460;OK;1
60201461;OK;1
60201462;OK;1
60201463;OK;1
60201464;OK;1
60201465;OK;1
60201466;OK;1
60201467;OK;1
60201468;OK;1
60201469;OK;1
60201470;OK;1
60201471;OK;1
60201472;OK;1
60201473;OK;1
60201474;OK;1
60201475;OK;1
60201476;OK;1
60201477;OK;1
60201478;OK;1
60201479;OK;1
